"seed","modelindex","seedmod"
749138265,1041,"749138265.1041"
767405138,1041,"767405138.1041"
773013889,1041,"773013889.1041"
800671986,1041,"800671986.1041"
829606697,1041,"829606697.1041"
829790803,1041,"829790803.1041"
835584094,1041,"835584094.1041"
884298832,1041,"884298832.1041"
902336083,1041,"902336083.1041"
916659413,1041,"916659413.1041"
953770406,1041,"953770406.1041"
988320027,1041,"988320027.1041"
1062596789,1041,"1062596789.1041"
1068544293,1041,"1068544293.1041"
1111628040,1041,"1111628040.1041"
1116924851,1041,"1116924851.1041"
1140555014,1041,"1140555014.1041"
1163216082,1041,"1163216082.1041"
1191789054,1041,"1191789054.1041"
1368383213,1041,"1368383213.1041"
1410827373,1041,"1410827373.1041"
1429158895,1041,"1429158895.1041"
1440576054,1041,"1440576054.1041"
1448329200,1041,"1448329200.1041"
1499941704,1041,"1499941704.1041"
1535973786,1041,"1535973786.1041"
1763963450,1041,"1763963450.1041"
1783207018,1041,"1783207018.1041"
1931309650,1041,"1931309650.1041"
2095433836,1041,"2095433836.1041"
2099250300,1041,"2099250300.1041"
2108190576,1041,"2108190576.1041"
2160468435,1041,"2160468435.1041"
2186059794,1041,"2186059794.1041"
2190430610,1041,"2190430610.1041"
2218270587,1041,"2218270587.1041"
2235104824,1041,"2235104824.1041"
2238919982,1041,"2238919982.1041"
2328441983,1041,"2328441983.1041"
2375007324,1041,"2375007324.1041"
2387158051,1041,"2387158051.1041"
2396060786,1041,"2396060786.1041"
2408622171,1041,"2408622171.1041"
2414432728,1041,"2414432728.1041"
2431892350,1041,"2431892350.1041"
2448221675,1041,"2448221675.1041"
2456740393,1041,"2456740393.1041"
2463684711,1041,"2463684711.1041"
2587638222,1041,"2587638222.1041"
2589851716,1041,"2589851716.1041"
2603746130,1041,"2603746130.1041"
2621070261,1041,"2621070261.1041"
2640028681,1041,"2640028681.1041"
2767825865,1041,"2767825865.1041"
2776977750,1041,"2776977750.1041"
2787103171,1041,"2787103171.1041"
2812477748,1041,"2812477748.1041"
2848726040,1041,"2848726040.1041"
2886618128,1041,"2886618128.1041"
2894940099,1041,"2894940099.1041"
2947990758,1041,"2947990758.1041"
2977044203,1041,"2977044203.1041"
2987488969,1041,"2987488969.1041"
2994725687,1041,"2994725687.1041"
3056777668,1041,"3056777668.1041"
3162864798,1041,"3162864798.1041"
3216928058,1041,"3216928058.1041"
3340067219,1041,"3340067219.1041"
3409443468,1041,"3409443468.1041"
3436916023,1041,"3436916023.1041"
3522021942,1041,"3522021942.1041"
3554892330,1041,"3554892330.1041"
3606763341,1041,"3606763341.1041"
3735160950,1041,"3735160950.1041"
3899598976,1041,"3899598976.1041"
3925196109,1041,"3925196109.1041"
3990431749,1041,"3990431749.1041"
3992150825,1041,"3992150825.1041"
4077204288,1041,"4077204288.1041"
4260897988,1041,"4260897988.1041"
902336083,1042,"902336083.1042"
1783207018,1042,"1783207018.1042"
2238919982,1042,"2238919982.1042"
2328441983,1042,"2328441983.1042"
3165192143,1042,"3165192143.1042"
3554892330,1042,"3554892330.1042"
1068544293,1043,"1068544293.1043"
1111628040,1043,"1111628040.1043"
1191789054,1043,"1191789054.1043"
2108190576,1043,"2108190576.1043"
18272839,1044,"18272839.1044"
52226503,1044,"52226503.1044"
123933562,1044,"123933562.1044"
158549267,1044,"158549267.1044"
176903477,1044,"176903477.1044"
206043678,1044,"206043678.1044"
283359780,1044,"283359780.1044"
293379938,1044,"293379938.1044"
313404950,1044,"313404950.1044"
440086838,1044,"440086838.1044"
501174615,1044,"501174615.1044"
553958512,1044,"553958512.1044"
613991555,1044,"613991555.1044"
644289465,1044,"644289465.1044"
749138265,1044,"749138265.1044"
767405138,1044,"767405138.1044"
773013889,1044,"773013889.1044"
800671986,1044,"800671986.1044"
829606697,1044,"829606697.1044"
829790803,1044,"829790803.1044"
835584094,1044,"835584094.1044"
884298832,1044,"884298832.1044"
902336083,1044,"902336083.1044"
916659413,1044,"916659413.1044"
953770406,1044,"953770406.1044"
988320027,1044,"988320027.1044"
1068544293,1044,"1068544293.1044"
1116924851,1044,"1116924851.1044"
1140555014,1044,"1140555014.1044"
1163216082,1044,"1163216082.1044"
1191789054,1044,"1191789054.1044"
1410827373,1044,"1410827373.1044"
1429158895,1044,"1429158895.1044"
1440576054,1044,"1440576054.1044"
1499941704,1044,"1499941704.1044"
1535973786,1044,"1535973786.1044"
1763963450,1044,"1763963450.1044"
1931309650,1044,"1931309650.1044"
2095433836,1044,"2095433836.1044"
2160468435,1044,"2160468435.1044"
2186059794,1044,"2186059794.1044"
2190430610,1044,"2190430610.1044"
2218270587,1044,"2218270587.1044"
2235104824,1044,"2235104824.1044"
2238919982,1044,"2238919982.1044"
2396060786,1044,"2396060786.1044"
2408622171,1044,"2408622171.1044"
2414432728,1044,"2414432728.1044"
2431892350,1044,"2431892350.1044"
2448221675,1044,"2448221675.1044"
2456740393,1044,"2456740393.1044"
2463684711,1044,"2463684711.1044"
2587638222,1044,"2587638222.1044"
2589851716,1044,"2589851716.1044"
2640028681,1044,"2640028681.1044"
2787103171,1044,"2787103171.1044"
2812477748,1044,"2812477748.1044"
2894940099,1044,"2894940099.1044"
2947990758,1044,"2947990758.1044"
2977044203,1044,"2977044203.1044"
2987488969,1044,"2987488969.1044"
2994725687,1044,"2994725687.1044"
3056777668,1044,"3056777668.1044"
3165192143,1044,"3165192143.1044"
3216928058,1044,"3216928058.1044"
3340067219,1044,"3340067219.1044"
3409443468,1044,"3409443468.1044"
3436916023,1044,"3436916023.1044"
3522021942,1044,"3522021942.1044"
3554892330,1044,"3554892330.1044"
3735160950,1044,"3735160950.1044"
3992150825,1044,"3992150825.1044"
4077204288,1044,"4077204288.1044"
4260897988,1044,"4260897988.1044"
16601004,1045,"16601004.1045"
18272839,1045,"18272839.1045"
73653774,1045,"73653774.1045"
158549267,1045,"158549267.1045"
206043678,1045,"206043678.1045"
313404950,1045,"313404950.1045"
644289465,1045,"644289465.1045"
749138265,1045,"749138265.1045"
773013889,1045,"773013889.1045"
829790803,1045,"829790803.1045"
835584094,1045,"835584094.1045"
884298832,1045,"884298832.1045"
902336083,1045,"902336083.1045"
1062596789,1045,"1062596789.1045"
1140555014,1045,"1140555014.1045"
1163216082,1045,"1163216082.1045"
1191789054,1045,"1191789054.1045"
1410827373,1045,"1410827373.1045"
1429158895,1045,"1429158895.1045"
1440576054,1045,"1440576054.1045"
1763963450,1045,"1763963450.1045"
1931309650,1045,"1931309650.1045"
2095433836,1045,"2095433836.1045"
2108190576,1045,"2108190576.1045"
2238919982,1045,"2238919982.1045"
2396060786,1045,"2396060786.1045"
2408622171,1045,"2408622171.1045"
2431892350,1045,"2431892350.1045"
2463684711,1045,"2463684711.1045"
2812477748,1045,"2812477748.1045"
2894940099,1045,"2894940099.1045"
2994725687,1045,"2994725687.1045"
3162864798,1045,"3162864798.1045"
3165192143,1045,"3165192143.1045"
3340067219,1045,"3340067219.1045"
3409443468,1045,"3409443468.1045"
3522021942,1045,"3522021942.1045"
3554892330,1045,"3554892330.1045"
3735160950,1045,"3735160950.1045"
52226503,1046,"52226503.1046"
158549267,1046,"158549267.1046"
206043678,1046,"206043678.1046"
988320027,1046,"988320027.1046"
2328441983,1046,"2328441983.1046"
2408622171,1046,"2408622171.1046"
2448221675,1046,"2448221675.1046"
2463684711,1046,"2463684711.1046"
2776977750,1046,"2776977750.1046"
3554892330,1046,"3554892330.1046"
124345883,1048,"124345883.1048"
773013889,1048,"773013889.1048"
1440576054,1048,"1440576054.1048"
2408622171,1048,"2408622171.1048"
158549267,1049,"158549267.1049"
440086838,1049,"440086838.1049"
829790803,1049,"829790803.1049"
835584094,1049,"835584094.1049"
1111628040,1049,"1111628040.1049"
1931309650,1049,"1931309650.1049"
2095433836,1049,"2095433836.1049"
2328441983,1049,"2328441983.1049"
2448221675,1049,"2448221675.1049"
2886618128,1049,"2886618128.1049"
3606763341,1049,"3606763341.1049"
16601004,1050,"16601004.1050"
18272839,1050,"18272839.1050"
52226503,1050,"52226503.1050"
73653774,1050,"73653774.1050"
123933562,1050,"123933562.1050"
124345883,1050,"124345883.1050"
158549267,1050,"158549267.1050"
176903477,1050,"176903477.1050"
206043678,1050,"206043678.1050"
283359780,1050,"283359780.1050"
293379938,1050,"293379938.1050"
313404950,1050,"313404950.1050"
440086838,1050,"440086838.1050"
501174615,1050,"501174615.1050"
553944768,1050,"553944768.1050"
553958512,1050,"553958512.1050"
564383785,1050,"564383785.1050"
613991555,1050,"613991555.1050"
644289465,1050,"644289465.1050"
749138265,1050,"749138265.1050"
767405138,1050,"767405138.1050"
773013889,1050,"773013889.1050"
800671986,1050,"800671986.1050"
829606697,1050,"829606697.1050"
829790803,1050,"829790803.1050"
835584094,1050,"835584094.1050"
884298832,1050,"884298832.1050"
902336083,1050,"902336083.1050"
916659413,1050,"916659413.1050"
953770406,1050,"953770406.1050"
988320027,1050,"988320027.1050"
1062596789,1050,"1062596789.1050"
1068544293,1050,"1068544293.1050"
1111628040,1050,"1111628040.1050"
1116924851,1050,"1116924851.1050"
1140555014,1050,"1140555014.1050"
1163216082,1050,"1163216082.1050"
1191789054,1050,"1191789054.1050"
1368383213,1050,"1368383213.1050"
1410827373,1050,"1410827373.1050"
1429158895,1050,"1429158895.1050"
1440576054,1050,"1440576054.1050"
1448329200,1050,"1448329200.1050"
1499941704,1050,"1499941704.1050"
1535973786,1050,"1535973786.1050"
1763963450,1050,"1763963450.1050"
1783207018,1050,"1783207018.1050"
1931309650,1050,"1931309650.1050"
2095433836,1050,"2095433836.1050"
2099250300,1050,"2099250300.1050"
2108190576,1050,"2108190576.1050"
2160468435,1050,"2160468435.1050"
2186059794,1050,"2186059794.1050"
2190430610,1050,"2190430610.1050"
2218270587,1050,"2218270587.1050"
2235104824,1050,"2235104824.1050"
2238919982,1050,"2238919982.1050"
2328441983,1050,"2328441983.1050"
2375007324,1050,"2375007324.1050"
2387158051,1050,"2387158051.1050"
2396060786,1050,"2396060786.1050"
2408622171,1050,"2408622171.1050"
2414432728,1050,"2414432728.1050"
2431892350,1050,"2431892350.1050"
2448221675,1050,"2448221675.1050"
2456740393,1050,"2456740393.1050"
2463684711,1050,"2463684711.1050"
2587638222,1050,"2587638222.1050"
2589851716,1050,"2589851716.1050"
2603746130,1050,"2603746130.1050"
2621070261,1050,"2621070261.1050"
2640028681,1050,"2640028681.1050"
2767825865,1050,"2767825865.1050"
2776977750,1050,"2776977750.1050"
2787103171,1050,"2787103171.1050"
2812477748,1050,"2812477748.1050"
2848726040,1050,"2848726040.1050"
2886618128,1050,"2886618128.1050"
2894940099,1050,"2894940099.1050"
2947990758,1050,"2947990758.1050"
2977044203,1050,"2977044203.1050"
2987488969,1050,"2987488969.1050"
2994725687,1050,"2994725687.1050"
3056777668,1050,"3056777668.1050"
3162864798,1050,"3162864798.1050"
3165192143,1050,"3165192143.1050"
3216928058,1050,"3216928058.1050"
3340067219,1050,"3340067219.1050"
3409443468,1050,"3409443468.1050"
3436916023,1050,"3436916023.1050"
3522021942,1050,"3522021942.1050"
3554892330,1050,"3554892330.1050"
3606763341,1050,"3606763341.1050"
3735160950,1050,"3735160950.1050"
3899598976,1050,"3899598976.1050"
3925196109,1050,"3925196109.1050"
3990431749,1050,"3990431749.1050"
3992150825,1050,"3992150825.1050"
4077204288,1050,"4077204288.1050"
4260897988,1050,"4260897988.1050"
52226503,1052,"52226503.1052"
176903477,1052,"176903477.1052"
206043678,1052,"206043678.1052"
313404950,1052,"313404950.1052"
440086838,1052,"440086838.1052"
501174615,1052,"501174615.1052"
613991555,1052,"613991555.1052"
644289465,1052,"644289465.1052"
767405138,1052,"767405138.1052"
773013889,1052,"773013889.1052"
829606697,1052,"829606697.1052"
884298832,1052,"884298832.1052"
953770406,1052,"953770406.1052"
988320027,1052,"988320027.1052"
1062596789,1052,"1062596789.1052"
1068544293,1052,"1068544293.1052"
1140555014,1052,"1140555014.1052"
1191789054,1052,"1191789054.1052"
1368383213,1052,"1368383213.1052"
1440576054,1052,"1440576054.1052"
1499941704,1052,"1499941704.1052"
1535973786,1052,"1535973786.1052"
1763963450,1052,"1763963450.1052"
2186059794,1052,"2186059794.1052"
2218270587,1052,"2218270587.1052"
2235104824,1052,"2235104824.1052"
2238919982,1052,"2238919982.1052"
2328441983,1052,"2328441983.1052"
2375007324,1052,"2375007324.1052"
2431892350,1052,"2431892350.1052"
2456740393,1052,"2456740393.1052"
2463684711,1052,"2463684711.1052"
2589851716,1052,"2589851716.1052"
2603746130,1052,"2603746130.1052"
2621070261,1052,"2621070261.1052"
2640028681,1052,"2640028681.1052"
2776977750,1052,"2776977750.1052"
2787103171,1052,"2787103171.1052"
2848726040,1052,"2848726040.1052"
2886618128,1052,"2886618128.1052"
2947990758,1052,"2947990758.1052"
3162864798,1052,"3162864798.1052"
3216928058,1052,"3216928058.1052"
3409443468,1052,"3409443468.1052"
3436916023,1052,"3436916023.1052"
3522021942,1052,"3522021942.1052"
3925196109,1052,"3925196109.1052"
3992150825,1052,"3992150825.1052"
4077204288,1052,"4077204288.1052"
916659413,1053,"916659413.1053"
1410827373,1053,"1410827373.1053"
2587638222,1053,"2587638222.1053"
18272839,1054,"18272839.1054"
158549267,1054,"158549267.1054"
206043678,1054,"206043678.1054"
773013889,1054,"773013889.1054"
829790803,1054,"829790803.1054"
835584094,1054,"835584094.1054"
916659413,1054,"916659413.1054"
1111628040,1054,"1111628040.1054"
1140555014,1054,"1140555014.1054"
1163216082,1054,"1163216082.1054"
1429158895,1054,"1429158895.1054"
1535973786,1054,"1535973786.1054"
1763963450,1054,"1763963450.1054"
1931309650,1054,"1931309650.1054"
2190430610,1054,"2190430610.1054"
2328441983,1054,"2328441983.1054"
2375007324,1054,"2375007324.1054"
2387158051,1054,"2387158051.1054"
2396060786,1054,"2396060786.1054"
2456740393,1054,"2456740393.1054"
2589851716,1054,"2589851716.1054"
2603746130,1054,"2603746130.1054"
2640028681,1054,"2640028681.1054"
2776977750,1054,"2776977750.1054"
2787103171,1054,"2787103171.1054"
2812477748,1054,"2812477748.1054"
2848726040,1054,"2848726040.1054"
2894940099,1054,"2894940099.1054"
2994725687,1054,"2994725687.1054"
3165192143,1054,"3165192143.1054"
3340067219,1054,"3340067219.1054"
3554892330,1054,"3554892330.1054"
3735160950,1054,"3735160950.1054"
3899598976,1054,"3899598976.1054"
16601004,1055,"16601004.1055"
124345883,1055,"124345883.1055"
902336083,1055,"902336083.1055"
916659413,1055,"916659413.1055"
2218270587,1055,"2218270587.1055"
2787103171,1055,"2787103171.1055"
3606763341,1055,"3606763341.1055"
2456740393,1056,"2456740393.1056"
16601004,1058,"16601004.1058"
18272839,1058,"18272839.1058"
52226503,1058,"52226503.1058"
73653774,1058,"73653774.1058"
124345883,1058,"124345883.1058"
158549267,1058,"158549267.1058"
176903477,1058,"176903477.1058"
206043678,1058,"206043678.1058"
283359780,1058,"283359780.1058"
293379938,1058,"293379938.1058"
313404950,1058,"313404950.1058"
440086838,1058,"440086838.1058"
501174615,1058,"501174615.1058"
553944768,1058,"553944768.1058"
553958512,1058,"553958512.1058"
564383785,1058,"564383785.1058"
613991555,1058,"613991555.1058"
644289465,1058,"644289465.1058"
749138265,1058,"749138265.1058"
767405138,1058,"767405138.1058"
829606697,1058,"829606697.1058"
829790803,1058,"829790803.1058"
835584094,1058,"835584094.1058"
884298832,1058,"884298832.1058"
916659413,1058,"916659413.1058"
988320027,1058,"988320027.1058"
1062596789,1058,"1062596789.1058"
1068544293,1058,"1068544293.1058"
1116924851,1058,"1116924851.1058"
1140555014,1058,"1140555014.1058"
1163216082,1058,"1163216082.1058"
1410827373,1058,"1410827373.1058"
1440576054,1058,"1440576054.1058"
1499941704,1058,"1499941704.1058"
1535973786,1058,"1535973786.1058"
2095433836,1058,"2095433836.1058"
2108190576,1058,"2108190576.1058"
2160468435,1058,"2160468435.1058"
2186059794,1058,"2186059794.1058"
2190430610,1058,"2190430610.1058"
2218270587,1058,"2218270587.1058"
2235104824,1058,"2235104824.1058"
2238919982,1058,"2238919982.1058"
2328441983,1058,"2328441983.1058"
2375007324,1058,"2375007324.1058"
2387158051,1058,"2387158051.1058"
2396060786,1058,"2396060786.1058"
2431892350,1058,"2431892350.1058"
2448221675,1058,"2448221675.1058"
2456740393,1058,"2456740393.1058"
2463684711,1058,"2463684711.1058"
2587638222,1058,"2587638222.1058"
2589851716,1058,"2589851716.1058"
2603746130,1058,"2603746130.1058"
2621070261,1058,"2621070261.1058"
2640028681,1058,"2640028681.1058"
2787103171,1058,"2787103171.1058"
2812477748,1058,"2812477748.1058"
2886618128,1058,"2886618128.1058"
2894940099,1058,"2894940099.1058"
2947990758,1058,"2947990758.1058"
2987488969,1058,"2987488969.1058"
2994725687,1058,"2994725687.1058"
3056777668,1058,"3056777668.1058"
3162864798,1058,"3162864798.1058"
3165192143,1058,"3165192143.1058"
3409443468,1058,"3409443468.1058"
3436916023,1058,"3436916023.1058"
3522021942,1058,"3522021942.1058"
3606763341,1058,"3606763341.1058"
3735160950,1058,"3735160950.1058"
3899598976,1058,"3899598976.1058"
3925196109,1058,"3925196109.1058"
3990431749,1058,"3990431749.1058"
3992150825,1058,"3992150825.1058"
4077204288,1058,"4077204288.1058"
953770406,1059,"953770406.1059"
16601004,1060,"16601004.1060"
18272839,1060,"18272839.1060"
176903477,1060,"176903477.1060"
206043678,1060,"206043678.1060"
440086838,1060,"440086838.1060"
553944768,1060,"553944768.1060"
553958512,1060,"553958512.1060"
564383785,1060,"564383785.1060"
613991555,1060,"613991555.1060"
644289465,1060,"644289465.1060"
749138265,1060,"749138265.1060"
767405138,1060,"767405138.1060"
829790803,1060,"829790803.1060"
835584094,1060,"835584094.1060"
884298832,1060,"884298832.1060"
902336083,1060,"902336083.1060"
988320027,1060,"988320027.1060"
1068544293,1060,"1068544293.1060"
1191789054,1060,"1191789054.1060"
1368383213,1060,"1368383213.1060"
1440576054,1060,"1440576054.1060"
1783207018,1060,"1783207018.1060"
2095433836,1060,"2095433836.1060"
2108190576,1060,"2108190576.1060"
2190430610,1060,"2190430610.1060"
2328441983,1060,"2328441983.1060"
2387158051,1060,"2387158051.1060"
2408622171,1060,"2408622171.1060"
2431892350,1060,"2431892350.1060"
2456740393,1060,"2456740393.1060"
2767825865,1060,"2767825865.1060"
2886618128,1060,"2886618128.1060"
2947990758,1060,"2947990758.1060"
3056777668,1060,"3056777668.1060"
3216928058,1060,"3216928058.1060"
3436916023,1060,"3436916023.1060"
3606763341,1060,"3606763341.1060"
3992150825,1060,"3992150825.1060"
4077204288,1060,"4077204288.1060"
953770406,1062,"953770406.1062"
1163216082,1062,"1163216082.1062"
1429158895,1062,"1429158895.1062"
2994725687,1062,"2994725687.1062"
3340067219,1062,"3340067219.1062"
1440576054,1063,"1440576054.1063"
1499941704,1063,"1499941704.1063"
2160468435,1063,"2160468435.1063"
2463684711,1063,"2463684711.1063"
2587638222,1063,"2587638222.1063"
2894940099,1063,"2894940099.1063"
3162864798,1063,"3162864798.1063"
3554892330,1063,"3554892330.1063"
52226503,1072,"52226503.1072"
283359780,1072,"283359780.1072"
293379938,1072,"293379938.1072"
313404950,1072,"313404950.1072"
1111628040,1072,"1111628040.1072"
1116924851,1072,"1116924851.1072"
1191789054,1072,"1191789054.1072"
1368383213,1072,"1368383213.1072"
2099250300,1072,"2099250300.1072"
2238919982,1072,"2238919982.1072"
2328441983,1072,"2328441983.1072"
2387158051,1072,"2387158051.1072"
2414432728,1072,"2414432728.1072"
2587638222,1072,"2587638222.1072"
2603746130,1072,"2603746130.1072"
2640028681,1072,"2640028681.1072"
2767825865,1072,"2767825865.1072"
2894940099,1072,"2894940099.1072"
3436916023,1072,"3436916023.1072"
3522021942,1072,"3522021942.1072"
3899598976,1072,"3899598976.1072"
3925196109,1072,"3925196109.1072"
3990431749,1072,"3990431749.1072"
123933562,1073,"123933562.1073"
902336083,1075,"902336083.1075"
1535973786,1075,"1535973786.1075"
1763963450,1075,"1763963450.1075"
2099250300,1075,"2099250300.1075"
2463684711,1075,"2463684711.1075"
3409443468,1075,"3409443468.1075"
835584094,1076,"835584094.1076"
2160468435,1076,"2160468435.1076"
2186059794,1077,"2186059794.1077"
16601004,1078,"16601004.1078"
73653774,1078,"73653774.1078"
553958512,1078,"553958512.1078"
1163216082,1078,"1163216082.1078"
1440576054,1078,"1440576054.1078"
2375007324,1078,"2375007324.1078"
3340067219,1078,"3340067219.1078"
206043678,1080,"206043678.1080"
2186059794,1080,"2186059794.1080"
644289465,1082,"644289465.1082"
3162864798,1082,"3162864798.1082"
3436916023,1082,"3436916023.1082"
52226503,1083,"52226503.1083"
206043678,1083,"206043678.1083"
293379938,1083,"293379938.1083"
767405138,1083,"767405138.1083"
800671986,1083,"800671986.1083"
1111628040,1083,"1111628040.1083"
1116924851,1083,"1116924851.1083"
1410827373,1083,"1410827373.1083"
1535973786,1083,"1535973786.1083"
2099250300,1083,"2099250300.1083"
2408622171,1083,"2408622171.1083"
2587638222,1083,"2587638222.1083"
2886618128,1083,"2886618128.1083"
3056777668,1083,"3056777668.1083"
3409443468,1083,"3409443468.1083"
3522021942,1083,"3522021942.1083"
3554892330,1083,"3554892330.1083"
3990431749,1083,"3990431749.1083"
4077204288,1083,"4077204288.1083"
4260897988,1083,"4260897988.1083"
16601004,1084,"16601004.1084"
123933562,1084,"123933562.1084"
158549267,1084,"158549267.1084"
176903477,1084,"176903477.1084"
501174615,1084,"501174615.1084"
644289465,1084,"644289465.1084"
773013889,1084,"773013889.1084"
800671986,1084,"800671986.1084"
829606697,1084,"829606697.1084"
1116924851,1084,"1116924851.1084"
1368383213,1084,"1368383213.1084"
1448329200,1084,"1448329200.1084"
1499941704,1084,"1499941704.1084"
1535973786,1084,"1535973786.1084"
1763963450,1084,"1763963450.1084"
2099250300,1084,"2099250300.1084"
2218270587,1084,"2218270587.1084"
2328441983,1084,"2328441983.1084"
2375007324,1084,"2375007324.1084"
2387158051,1084,"2387158051.1084"
2431892350,1084,"2431892350.1084"
2587638222,1084,"2587638222.1084"
2589851716,1084,"2589851716.1084"
2776977750,1084,"2776977750.1084"
2787103171,1084,"2787103171.1084"
2894940099,1084,"2894940099.1084"
2947990758,1084,"2947990758.1084"
2994725687,1084,"2994725687.1084"
3056777668,1084,"3056777668.1084"
3162864798,1084,"3162864798.1084"
3165192143,1084,"3165192143.1084"
3216928058,1084,"3216928058.1084"
3340067219,1084,"3340067219.1084"
3436916023,1084,"3436916023.1084"
3554892330,1084,"3554892330.1084"
3735160950,1084,"3735160950.1084"
3899598976,1084,"3899598976.1084"
3925196109,1084,"3925196109.1084"
3990431749,1084,"3990431749.1084"
4077204288,1084,"4077204288.1084"
4260897988,1084,"4260897988.1084"
18272839,1085,"18272839.1085"
73653774,1085,"73653774.1085"
283359780,1085,"283359780.1085"
767405138,1085,"767405138.1085"
1191789054,1085,"1191789054.1085"
2238919982,1085,"2238919982.1085"
2328441983,1085,"2328441983.1085"
2431892350,1085,"2431892350.1085"
2977044203,1085,"2977044203.1085"
3899598976,1085,"3899598976.1085"
3990431749,1085,"3990431749.1085"
16601004,1086,"16601004.1086"
18272839,1086,"18272839.1086"
52226503,1086,"52226503.1086"
123933562,1086,"123933562.1086"
124345883,1086,"124345883.1086"
158549267,1086,"158549267.1086"
176903477,1086,"176903477.1086"
206043678,1086,"206043678.1086"
283359780,1086,"283359780.1086"
293379938,1086,"293379938.1086"
313404950,1086,"313404950.1086"
440086838,1086,"440086838.1086"
501174615,1086,"501174615.1086"
553944768,1086,"553944768.1086"
553958512,1086,"553958512.1086"
564383785,1086,"564383785.1086"
613991555,1086,"613991555.1086"
644289465,1086,"644289465.1086"
749138265,1086,"749138265.1086"
767405138,1086,"767405138.1086"
773013889,1086,"773013889.1086"
800671986,1086,"800671986.1086"
829606697,1086,"829606697.1086"
829790803,1086,"829790803.1086"
835584094,1086,"835584094.1086"
884298832,1086,"884298832.1086"
902336083,1086,"902336083.1086"
916659413,1086,"916659413.1086"
953770406,1086,"953770406.1086"
988320027,1086,"988320027.1086"
1062596789,1086,"1062596789.1086"
1068544293,1086,"1068544293.1086"
1111628040,1086,"1111628040.1086"
1116924851,1086,"1116924851.1086"
1140555014,1086,"1140555014.1086"
1163216082,1086,"1163216082.1086"
1191789054,1086,"1191789054.1086"
1368383213,1086,"1368383213.1086"
1410827373,1086,"1410827373.1086"
1429158895,1086,"1429158895.1086"
1440576054,1086,"1440576054.1086"
1448329200,1086,"1448329200.1086"
1499941704,1086,"1499941704.1086"
1535973786,1086,"1535973786.1086"
1763963450,1086,"1763963450.1086"
1783207018,1086,"1783207018.1086"
1931309650,1086,"1931309650.1086"
2095433836,1086,"2095433836.1086"
2099250300,1086,"2099250300.1086"
